<Location> second: 1480559243, nanosecond: 171986000, pose_x: 641004.907034015166573, pose_y: 3449731.598706719465554, zone: 40, heading: -1.222953077484276, covariance: 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 </Location>
<Lanemarking>
second: 1480559241, nanosecond: 660835000, sequence: 382
Id: 8, x: 0.279982, y: -1.894237, z: 0.000000
Id: 9, x: 0.679980, y: -1.892910, z: 0.000000
Id: 10, x: 1.079978, y: -1.891587, z: 0.000000
Id: 11, x: 1.479975, y: -1.890267, z: 0.000000
Id: 12, x: 1.879973, y: -1.888952, z: 0.000000
Id: 13, x: 2.279971, y: -1.887640, z: 0.000000
Id: 14, x: 2.679969, y: -1.886333, z: 0.000000
Id: 15, x: 3.079967, y: -1.885030, z: 0.000000
Id: 16, x: 3.479965, y: -1.883730, z: 0.000000
Id: 17, x: 3.879963, y: -1.882435, z: 0.000000
Id: 18, x: 4.279961, y: -1.881144, z: 0.000000
Id: 19, x: 4.679958, y: -1.879856, z: 0.000000
Id: 20, x: 5.079957, y: -1.878573, z: 0.000000
Id: 21, x: 5.479955, y: -1.877294, z: 0.000000
Id: 22, x: 5.879953, y: -1.876018, z: 0.000000
Id: 23, x: 6.279950, y: -1.874747, z: 0.000000
Id: 24, x: 6.679948, y: -1.873479, z: 0.000000
Id: 25, x: 7.079947, y: -1.872216, z: 0.000000
Id: 26, x: 7.479944, y: -1.870957, z: 0.000000
Id: 27, x: 7.879942, y: -1.869702, z: 0.000000
Id: 28, x: 8.279941, y: -1.868450, z: 0.000000
Id: 29, x: 8.679938, y: -1.867203, z: 0.000000
Id: 30, x: 9.079937, y: -1.865959, z: 0.000000
Id: 31, x: 9.479935, y: -1.864720, z: 0.000000
Id: 32, x: 9.879932, y: -1.863485, z: 0.000000
Id: 33, x: 10.279931, y: -1.862253, z: 0.000000
Id: 34, x: 10.679929, y: -1.861026, z: 0.000000
Id: 35, x: 11.079928, y: -1.859803, z: 0.000000
Id: 36, x: 11.479925, y: -1.858583, z: 0.000000
Id: 37, x: 11.879924, y: -1.857368, z: 0.000000
Id: 38, x: 12.279922, y: -1.856157, z: 0.000000
Id: 39, x: 12.679920, y: -1.854949, z: 0.000000
Id: 40, x: 13.079918, y: -1.853746, z: 0.000000
Id: 41, x: 13.479916, y: -1.852546, z: 0.000000
Id: 42, x: 13.879915, y: -1.851351, z: 0.000000
Id: 43, x: 14.279913, y: -1.850160, z: 0.000000
Id: 44, x: 14.679911, y: -1.848972, z: 0.000000
Id: 45, x: 15.079910, y: -1.847789, z: 0.000000
Id: 46, x: 15.479908, y: -1.846610, z: 0.000000
Id: 47, x: 15.879906, y: -1.845434, z: 0.000000
Id: 48, x: 16.279905, y: -1.844263, z: 0.000000
Id: 49, x: 16.679903, y: -1.843096, z: 0.000000
Id: 50, x: 17.079901, y: -1.841932, z: 0.000000
Id: 51, x: 17.479900, y: -1.840773, z: 0.000000
Id: 52, x: 17.879898, y: -1.839618, z: 0.000000
Id: 53, x: 18.279896, y: -1.838466, z: 0.000000
Id: 54, x: 18.679895, y: -1.837319, z: 0.000000
Id: 55, x: 19.079893, y: -1.836176, z: 0.000000
Id: 56, x: 19.479891, y: -1.835036, z: 0.000000
Id: 57, x: 19.879891, y: -1.833901, z: 0.000000
Id: 58, x: 20.279888, y: -1.832770, z: 0.000000
Id: 59, x: 20.679888, y: -1.831642, z: 0.000000
Id: 60, x: 21.079886, y: -1.830519, z: 0.000000
Id: 61, x: 21.479883, y: -1.829399, z: 0.000000
Id: 62, x: 21.879883, y: -1.828284, z: 0.000000
Id: 63, x: 22.279881, y: -1.827173, z: 0.000000
Id: 64, x: 22.679880, y: -1.826065, z: 0.000000
Id: 65, x: 23.079878, y: -1.824962, z: 0.000000
Id: 66, x: 23.479878, y: -1.823863, z: 0.000000
Id: 67, x: 23.879875, y: -1.822767, z: 0.000000
Id: 68, x: 24.279875, y: -1.821676, z: 0.000000
Id: 69, x: 24.679873, y: -1.820589, z: 0.000000
Id: 70, x: 25.079870, y: -1.819505, z: 0.000000
Id: 71, x: 25.479870, y: -1.818426, z: 0.000000
Id: 72, x: 25.879868, y: -1.817351, z: 0.000000
Id: 73, x: 26.279867, y: -1.816279, z: 0.000000
Id: 74, x: 26.679865, y: -1.815212, z: 0.000000
Id: 75, x: 27.079865, y: -1.814148, z: 0.000000
Id: 76, x: 27.479864, y: -1.813089, z: 0.000000
Id: 77, x: 27.879862, y: -1.812034, z: 0.000000
Id: 78, x: 28.279862, y: -1.810982, z: 0.000000
Id: 79, x: 28.679859, y: -1.809935, z: 0.000000
Id: 80, x: 29.079859, y: -1.808892, z: 0.000000
Id: 81, x: 29.479857, y: -1.807852, z: 0.000000
Id: 82, x: 29.879854, y: -1.806817, z: 0.000000
Id: 83, x: 30.279856, y: -1.805786, z: 0.000000
Id: 84, x: 30.679854, y: -1.804758, z: 0.000000
Id: 85, x: 31.079851, y: -1.803735, z: 0.000000
Id: 86, x: 31.479853, y: -1.802716, z: 0.000000
Id: 87, x: 31.879850, y: -1.801700, z: 0.000000
Id: 88, x: 32.279848, y: -1.800689, z: 0.000000
Id: 89, x: 32.679846, y: -1.799681, z: 0.000000
Id: 90, x: 33.079847, y: -1.798678, z: 0.000000
Id: 91, x: 33.479845, y: -1.797679, z: 0.000000
Id: 92, x: 33.879843, y: -1.796683, z: 0.000000
Id: 93, x: 34.279844, y: -1.795692, z: 0.000000
Id: 94, x: 34.679842, y: -1.794705, z: 0.000000
Id: 95, x: 35.079840, y: -1.793721, z: 0.000000
Id: 96, x: 35.479841, y: -1.792742, z: 0.000000
Id: 97, x: 35.879839, y: -1.791767, z: 0.000000
Id: 98, x: 36.279837, y: -1.790795, z: 0.000000
Id: 99, x: 36.679838, y: -1.789828, z: 0.000000
Id: 100, x: 37.079836, y: -1.788864, z: 0.000000
Id: 101, x: 37.479834, y: -1.787905, z: 0.000000
Id: 102, x: 37.879835, y: -1.786950, z: 0.000000
Id: 103, x: 38.279833, y: -1.785998, z: 0.000000
Id: 104, x: 38.679834, y: -1.785051, z: 0.000000
Id: 105, x: 39.079832, y: -1.784108, z: 0.000000
Id: 106, x: 39.479830, y: -1.783168, z: 0.000000
Id: 107, x: 39.879831, y: -1.782233, z: 0.000000
Id: 108, x: 40.279829, y: -1.781302, z: 0.000000
Id: 109, x: 40.679827, y: -1.780374, z: 0.000000
Id: 110, x: 41.079828, y: -1.779451, z: 0.000000
Id: 111, x: 41.479826, y: -1.778532, z: 0.000000
Id: 112, x: 41.879828, y: -1.777616, z: 0.000000
Id: 113, x: 42.279825, y: -1.776705, z: 0.000000
Id: 114, x: 42.679823, y: -1.775797, z: 0.000000
Id: 115, x: 43.079825, y: -1.774894, z: 0.000000
Id: 116, x: 43.479822, y: -1.773995, z: 0.000000
Id: 117, x: -2.920000, y: 1.725000, z: 0.000000
Id: 118, x: -2.520002, y: 1.726359, z: 0.000000
Id: 119, x: -2.120005, y: 1.727715, z: 0.000000
Id: 120, x: -1.720007, y: 1.729066, z: 0.000000
Id: 121, x: -1.320009, y: 1.730413, z: 0.000000
Id: 122, x: -0.920011, y: 1.731757, z: 0.000000
Id: 123, x: -0.520014, y: 1.733096, z: 0.000000
Id: 124, x: -0.120016, y: 1.734431, z: 0.000000
Id: 125, x: 0.279982, y: 1.735763, z: 0.000000
Id: 126, x: 0.679980, y: 1.737090, z: 0.000000
Id: 127, x: 1.079978, y: 1.738413, z: 0.000000
Id: 128, x: 1.479975, y: 1.739733, z: 0.000000
Id: 129, x: 1.879973, y: 1.741048, z: 0.000000
Id: 130, x: 2.279971, y: 1.742360, z: 0.000000
Id: 131, x: 2.679969, y: 1.743667, z: 0.000000
Id: 132, x: 3.079967, y: 1.744970, z: 0.000000
Id: 133, x: 3.479965, y: 1.746270, z: 0.000000
Id: 134, x: 3.879963, y: 1.747565, z: 0.000000
Id: 135, x: 4.279961, y: 1.748856, z: 0.000000
Id: 136, x: 4.679958, y: 1.750144, z: 0.000000
Id: 137, x: 5.079957, y: 1.751427, z: 0.000000
Id: 138, x: 5.479955, y: 1.752706, z: 0.000000
Id: 139, x: 5.879953, y: 1.753982, z: 0.000000
Id: 140, x: 6.279950, y: 1.755253, z: 0.000000
Id: 141, x: 6.679948, y: 1.756521, z: 0.000000
Id: 142, x: 7.079947, y: 1.757784, z: 0.000000
Id: 143, x: 7.479944, y: 1.759043, z: 0.000000
Id: 144, x: 7.879942, y: 1.760298, z: 0.000000
Id: 145, x: 8.279941, y: 1.761550, z: 0.000000
Id: 146, x: 8.679938, y: 1.762797, z: 0.000000
Id: 147, x: 9.079937, y: 1.764041, z: 0.000000
Id: 148, x: 9.479935, y: 1.765280, z: 0.000000
Id: 149, x: 9.879932, y: 1.766515, z: 0.000000
Id: 150, x: 10.279931, y: 1.767747, z: 0.000000
Id: 151, x: 10.679929, y: 1.768974, z: 0.000000
Id: 152, x: 11.079928, y: 1.770197, z: 0.000000
Id: 153, x: 11.479925, y: 1.771417, z: 0.000000
Id: 154, x: 11.879924, y: 1.772632, z: 0.000000
Id: 155, x: 12.279922, y: 1.773843, z: 0.000000
Id: 156, x: 12.679920, y: 1.775051, z: 0.000000
Id: 157, x: 13.079918, y: 1.776254, z: 0.000000
Id: 158, x: 13.479916, y: 1.777454, z: 0.000000
Id: 159, x: 13.879915, y: 1.778649, z: 0.000000
Id: 160, x: 14.279913, y: 1.779840, z: 0.000000
Id: 161, x: 14.679911, y: 1.781028, z: 0.000000
Id: 162, x: 15.079910, y: 1.782211, z: 0.000000
Id: 163, x: 15.479908, y: 1.783390, z: 0.000000
Id: 164, x: 15.879906, y: 1.784566, z: 0.000000
Id: 165, x: 16.279905, y: 1.785737, z: 0.000000
Id: 166, x: 16.679903, y: 1.786904, z: 0.000000
Id: 167, x: 17.079901, y: 1.788068, z: 0.000000
Id: 168, x: 17.479900, y: 1.789227, z: 0.000000
Id: 169, x: 17.879898, y: 1.790382, z: 0.000000
Id: 170, x: 18.279896, y: 1.791534, z: 0.000000
Id: 171, x: 18.679895, y: 1.792681, z: 0.000000
Id: 172, x: 19.079893, y: 1.793824, z: 0.000000
Id: 173, x: 19.479891, y: 1.794964, z: 0.000000
Id: 174, x: 19.879891, y: 1.796099, z: 0.000000
Id: 175, x: 20.279888, y: 1.797230, z: 0.000000
Id: 176, x: 20.679888, y: 1.798358, z: 0.000000
Id: 177, x: 21.079886, y: 1.799481, z: 0.000000
Id: 178, x: 21.479883, y: 1.800601, z: 0.000000
Id: 179, x: 21.879883, y: 1.801716, z: 0.000000
Id: 180, x: 22.279881, y: 1.802827, z: 0.000000
Id: 181, x: 22.679880, y: 1.803935, z: 0.000000
